"","instituce","obor","spec_hlavni","zakl_vyzkum","obor_ekzaktnost","krize_rep","cinnost_matem","cinnost_model","cinnost_teori","cinnost_exper","cinnost_kateg","cinnost_vyvoj","kar_praxe","kar_titul","kar_citace","kar_nejlepsi","kar_kategorie","obor_dotovany","obor_konkuren","obor_tlak","obor_rychly","obor_priliv","obor_publikac","obor_medializ","obor_verejnos","obor_komplexn","obor_mensi","financ_vliv","financ_zajisti.objektivitu","financ_neduvera","financ_zajisti.nezavislost","dilema_predator","dilema_neinformoval","dilema_misogyn","dilema_kvoty","dilema_cinska.medicina","dilema_embryo","reg_Evropa","reg_Sev.Amerika","reg_Asie","reg_vsude.stejne","objekt_vnejsi.pohled","objekt_presnost","objekt_matematicka.konzistence","objekt_testovatelnost","objekt_nestrannost","objekt_priblizeni.pravde","objekt_shoda.s.realitou","objekt_kvantifikace","objekt_intersubjektivita","objekt_kriticke.mysleni","objekt_reprodukovatelnost","objekt_diskut","neobj_nerepre","neobj_hacking","neobj_positiv","neobj_popular","neobj_modmet","neobj_oversell","neobj_zbytecne","neobj_salam","frek_nerepre","frek_hacking","frek_positiv","frek_popular","frek_modmet","frek_oversell","frek_zbytecne","frek_salam"
"571","UK","Biol-Medic","Medicine","Ne","Menší","Nevýznamná","Ne","Ano","Ne","Ne","Ne","Ne","10–19 let","Docent","Do 500","Ne","Akademický pracovník do třídy AP2","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Rozhodně ano","Spíše ne","Spíše ne","Rozhodně ne","Velmi často","Veřejné","Veřejné","Dlouhodobé","ano","ne","ne","ne","ano","ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ano","Zřídka","Ne","Ano","Ano","Ne","Ne","Ano","Ne","Ano",30,70,80,20,50,60,50,80
"572","UK","Mat-Fyz-Info","Other","Ano","Větší",NA,"Ano","Ano","Ano","Ne","Ano","Ne","20 a více let","Profesor","Více","Ano","Akademický pracovník do třídy AP4","Spíše ne","Spíše ano","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Někdy","Veřejné",NA,"Dlouhodobé","ne","ne","ne","ne","ne","ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Zřídka","Ano",NA,"Ano",NA,"Ano",NA,NA,NA,NA,NA,30,NA,30,20,30,20
"573","UK","Mat-Fyz-Info","Physics","Ano","Větší","Významná","Ne","Ne","Ano","Ne","Ne","Ne","5–9 let","CSc./Ph.D.","Do 100","Ne","Akademický pracovník do třídy AP1","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ne","Rozhodně ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Spíše ano","Někdy","Nehraje roli",NA,"Dlouhodobé","ne","ano","ne","ne","ano","ne","Ne","Ne","Ano","Ne","Ne","Ne","Ano","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Velmi často","Ano","Ano","Ne","Ano","Ano",NA,"Ano","Ano",NA,0,90,0,0,0,10,0
"574","UK","Biol-Ekol","Biology","Ano","Menší",NA,"Ne","Ne","Ne","Ne","Ano","Ne","10–19 let","Docent","Do 500","Ne","Akademický pracovník do třídy AP3","Rozhodně ne","Rozhodně ne","Spíše ne","Rozhodně ne","Rozhodně ne","Spíše ne","Rozhodně ne","Spíše ne","Spíše ne","Spíše ne","Někdy","Veřejné","Nehraje roli","Dlouhodobé","ano","ne","ne","ne","ano","ano","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ano","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Někdy","Ano","Ano","Ano","Ne","Ne",NA,"Ne","Ne",80,0,10,60,10,20,10,70
"575","UK","Mat-Fyz-Info","Other","Ano","Menší","Významná","Ne","Ne","Ne","Ne","Ne","Ano","Méně než 5 let","Mgr./Ing.","Do 100","Ne","Akademický pracovník do třídy AP1","Spíše ano","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ne","Rozhodně ne","Rozhodně ano","Rozhodně ano","Někdy","Nehraje roli","Soukromé","Dlouhodobé","ne","ne","ano","ne","ano","ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ano","Ne","Ne","Ne","Ano","Někdy","Ano","Ano","Ano",NA,"Ne","Ano","Ne","Ne",80,60,80,20,60,70,60,20
"576","UK","Vědy o Zemi","Earth-Env","Ano","Větší","Není","Ne","Ano","Ano","Ne","Ano","Ne","20 a více let","Profesor","Do 5000","Ano","Akademický pracovník do třídy AP1","Rozhodně ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Spíše ne","Rozhodně ano","Rozhodně ano","Rozhodně ano","Nikdy","Nehraje roli","Nehraje roli","Dlouhodobé","ne","ne","ne","ne","ne","ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Zřídka","Ano",NA,NA,"Ano","Ano","Ano","Ano","Ano",10,NA,50,50,50,50,50,30
"577","UK","Mat-Fyz-Info","Other","Ano","Větší","Významná","Ne","Ne","Ne","Ne","Ne","Ano","5–9 let","Mgr./Ing.","Do 100","Ne","Vědecký pracovník do třídy VP2","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano","Rozhodně ne","Spíše ano","Rozhodně ne","Vždy",NA,NA,"Dlouhodobé","ano","ne","ne","ne","ano","ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ne","Nikdy","Ano","Ano","Ano","Ne","Ne","Ano","Ne","Ano",70,70,80,90,90,80,80,40
"578","UK","Biol-Medic","Medicine","Ne","Větší",NA,"Ne","Ne","Ne","Ne","Ano","Ne","Méně než 5 let","Mgr./Ing.","Do 100","Ne",NA,"Rozhodně ne","Spíše ano","Spíše ano","Rozhodně ano","Spíše ne","Rozhodně ano","Spíše ano","Spíše ano","Spíše ano","Rozhodně ne","Velmi často","Veřejné","Soukromé","Dlouhodobé","ne","ne","ano","ne","ano","ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ano","Velmi často","Ano","Ano","Ano","Ano","Ano","Ano","Ano","Ano",60,40,90,30,40,40,30,70
"579","UK","Mat-Fyz-Info","Physics","Ano","Větší","Významná","Ne","Ano","Ne","Ne","Ne","Ne","20 a více let","Mgr./Ing.","Do 500","Ne",NA,"Spíše ano","Rozhodně ano","Rozhodně ano","Spíše ne","Spíše ano","Rozhodně ano","Rozhodně ano","Spíše ano","Rozhodně ano","Rozhodně ne","Někdy","Veřejné","Soukromé","Dlouhodobé","ne","ne","ano","ne","ano","ano","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Někdy","Ano","Ano","Ano","Ne","Ne","Ano","Ano","Ne",0,0,0,50,30,10,20,10
"580","UK","Mat-Fyz-Info","Physics","Ano","Větší","Významná","Ne","Ne","Ne","Ne","Ne","Ano","10–19 let","CSc./Ph.D.","Více","Ano","Vědecký pracovník do třídy VP2",NA,"Rozhodně ano","Spíše ne","Spíše ne","Spíše ne","Rozhodně ano","Spíše ne","Spíše ne","Rozhodně ano","Rozhodně ne",NA,NA,"Soukromé","Nehraje roli","ne","ne","ano","ne","ano","ano","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ano","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Nikdy",NA,NA,NA,"Ano",NA,"Ano",NA,"Ne",40,NA,60,50,50,60,40,30
"581","UK","Biol-Medic","Medicine","Ne",NA,NA,"Ne","Ne","Ne","Ne","Ne","Ne","20 a více let","Docent","Do 500","Ne",NA,"Spíše ne","Spíše ne","Spíše ne","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne",NA,"Velmi často","Veřejné",NA,"Dlouhodobé","ne","ne","ne","ano","ne","ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Zřídka","Ne","Ano","Ano","Ne",NA,"Ano","Ano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","UK","Mat-Fyz-Info","Materials","Ano","Větší",NA,"Ne","Ne","Ne","Ano","Ne","Ne","10–19 let","CSc./Ph.D.","Do 500","Ne","Akademický pracovník do třídy AP2","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Velmi často","Veřejné","Nehraje roli","Dlouhodobé","ne","ne","ne","ne","ano","ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ano","Ne","Zřídka","Ano",NA,"Ano","Ne","Ne","Ano","Ne","Ne",30,NA,80,30,60,70,NA,50
"583","UK","Biol-Medic","Biology","Ano","Větší","Nevýznamná","Ne","Ne","Ano","Ne","Ne","Ne","10–19 let","Mgr./Ing.","Do 100","Ne","Vědecký pracovník do třídy VP3","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ano","Spíše ano","Vždy","Veřejné","Nehraje roli","Dlouhodobé","ne","ne","ne","ne","ano","ne","Ne","Ne","Ano","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ano","Ne","Zřídka","Ano","Ano","Ano","Ne","Ne","Ano","Ne","Ne",60,20,80,10,50,30,30,10
"584","UK","Biol-Medic","Medicine","Ne","Větší",NA,"Ne","Ne","Ne","Ano","Ne","Ne","5–9 let","Docent","Do 100","Ne","Akademický pracovník do třídy AP3","Spíše ne","Spíše ne","Rozhodně ano","Rozhodně ano","Rozhodně ne","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Spíše ano","Velmi často","Veřejné","Soukromé","Dlouhodobé","ano","ano","ne","ne","ano","ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Nikdy","Ano",NA,"Ano","Ano","Ne","Ano","Ne","Ano",90,NA,80,70,80,70,90,70
"585","UK","Biol-Medic","Medicine","Ne","Větší","Významná","Ne","Ne","Ne","Ano","Ne","Ne","20 a více let","Profesor","Do 5000","Ano","Akademický pracovník do třídy AP4","Spíše ne","Rozhodně ano","Spíše ano","Rozhodně ano","Spíše ne","Spíše ano","Rozhodně ne","Rozhodně ne","Rozhodně ano","Rozhodně ano","Velmi často","Veřejné","Nehraje roli","Dlouhodobé","ne","ano","ne","ne","ano","ano","Ne","Ano","Ano","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ano","Ne","Ne","Ne","Ne","Nikdy","Ano","Ano",NA,"Ne",NA,"Ano","Ano","Ano",80,70,70,50,80,90,50,80
"586","UK","Biol-Medic","Biology","Ano","Větší","Není","Ne","Ne","Ne","Ano","Ne","Ne","20 a více let","Docent","Do 5000","Ne","Akademický pracovník do třídy AP2","Rozhodně ne","Rozhodně ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ne","Spíše ano","Rozhodně ne","Vždy","Nehraje roli","Nehraje roli","Dlouhodobé","ne","ano","ne","ne","ne","ne","Ne","Ne","Ano","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ano","Ne","Někdy","Ano","Ano","Ano","Ne","Ne","Ano","Ano","Ne",80,NA,100,0,50,NA,70,50
"587","UK","Chemie","Chemistry","Ano",NA,NA,"Ne","Ne","Ne","Ano","Ano","Ne","10–19 let","Docent","Do 500","Ne","Akademický pracovník do třídy AP3","Rozhodně ne","Spíše ano","Spíše ano","Spíše ne","Spíše ano","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Velmi často",NA,"Nehraje roli","Dlouhodobé","ano","ne","ano","ano","ano","ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ano","Ano","Ne","Ne","Ne","Ano","Ne","Nikdy","Ano",NA,"Ano","Ne",NA,"Ano","Ano","Ano",20,NA,40,10,20,40,30,20
"588","UK","Biol-Medic","Biology","Ano","Větší","Významná","Ne","Ne","Ne","Ano","Ne","Ne","10–19 let","CSc./Ph.D.","Do 500","Ne","Akademický pracovník do třídy AP1","Spíše ne","Spíše ano","Spíše ano","Spíše ne","Rozhodně ne","Spíše ne","Rozhodně ne","Rozhodně ne","Spíše ano","Spíše ano","Zřídka","Veřejné","Soukromé",NA,"ano","ne","ne","ano","ano","ano","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ano","Nikdy","Ano","Ano","Ne","Ne","Ano",NA,"Ne","Ne",30,NA,90,80,80,NA,40,70
"589","UK","Biol-Medic","Medicine","Ne","Větší",NA,"Ne","Ne","Ne","Ne","Ano","Ne","20 a více let","Mgr./Ing.","Do 500","Ne","Nejsem zaměstnancem UK","Rozhodně ne","Spíše ano","Spíše ano","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ne","Spíše ne","Někdy","Nehraje roli","Nehraje roli",NA,"ano","ne","ne","ne","ano","ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Někdy","Ano","Ano","Ano",NA,"Ano","Ano","Ano","Ne",30,NA,30,10,40,30,50,0
"590","UK","Biol-Medic","Medicine","Ne","Větší","Nevýznamná","Ano","Ano","Ano","Ne","Ne","Ano","20 a více let","Docent","Do 1000","Ne","Akademický pracovník do třídy AP2","Spíše ne","Rozhodně ano","Spíše ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ne","Rozhodně ano","Spíše ano","Spíše ne","Někdy","Soukromé","Veřejné","Dlouhodobé","ne","ne","ne","ano","ne","ano","Ne","Ne","Ano","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ano","Ne","Ano","Ne","Ne","Někdy","Ano",NA,"Ne","Ne","Ne","Ano","Ne","Ano",40,NA,70,20,30,20,NA,30
"591","UK","Biol-Medic","Medicine","Ne","Menší","Není","Ne","Ne","Ne","Ne","Ano","Ne","5–9 let","Mgr./Ing.","Do 100","Ne","Akademický pracovník do třídy AP1","Spíše ne","Rozhodně ano","Rozhodně ano","Rozhodně ano","Spíše ne","Rozhodně ano","Spíše ano","Rozhodně ano","Rozhodně ano","Spíše ano","Někdy","Veřejné","Soukromé","Dlouhodobé","ano","ano","ano","ne","ne","ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Velmi často","Ano","Ano","Ano","Ano","Ano","Ano","Ne","Ne",20,90,80,50,100,20,50,80
"592","UK","Biol-Medic","Biology","Ano","Větší","Nevýznamná","Ne","Ne","Ne","Ano","Ne","Ne","20 a více let","Docent","Do 1000","Ne","Akademický pracovník do třídy AP3","Rozhodně ano","Rozhodně ano","Rozhodně ano","Spíše ano","Spíše ano","Spíše ano","Spíše ano","Rozhodně ano","Rozhodně ano","Rozhodně ne","Někdy","Soukromé",NA,"Dlouhodobé","ne","ano","ano","ne","ano","ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Zřídka","Ano","Ano","Ano","Ano","Ano","Ano",NA,"Ne",20,NA,90,NA,10,30,20,10
"593","UK","Biol-Medic","Medicine","Ano",NA,NA,"Ne","Ne","Ne","Ano","Ne","Ne","10–19 let","CSc./Ph.D.","Do 100","Ne","Vědecký pracovník do třídy VP1","Rozhodně ne","Spíše ne","Spíše ano","Spíše ne","Rozhodně ne","Spíše ano","Rozhodně ne","Spíše ne","Spíše ne","Spíše ne","Zřídka","Veřejné","Nehraje roli","Dlouhodobé","ne","ne","ne","ne","ano","ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ano","Ano","Ne","Ne","Ne","Ne","Nikdy",NA,"Ano","Ano","Ne",NA,NA,"Ne","Ano",20,0,20,40,10,20,40,0
"594","UK","Mat-Fyz-Info","Math.","Ano","Větší","Není","Ano","Ne","Ne","Ne","Ne","Ne","20 a více let","Profesor","Do 5000","Ne","Akademický pracovník do třídy AP4","Spíše ano","Spíše ne","Rozhodně ano","Rozhodně ne","Rozhodně ne","Spíše ne","Spíše ne","Spíše ne","Rozhodně ano","Rozhodně ne","Vždy","Veřejné","Soukromé","Dlouhodobé","ne","ne","ano","ano","ano","ne","Ne","Ne","Ne","Ne","Ne","Ne","Ano","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Ne","Nikdy","Ne",NA,"Ano","Ano","Ano","Ano","Ano","Ne",100,0,0,0,100,100,100,40
