"Class","(Intercept)","obor_dotovany.L","obor_dotovany.Q","obor_dotovany.C","`obor_dotovany^4`","obor_konkuren.L","obor_konkuren.Q","obor_konkuren.C","`obor_konkuren^4`","obor_tlak.L","obor_tlak.Q","obor_tlak.C","`obor_tlak^4`","obor_rychly.L","obor_rychly.Q","obor_rychly.C","`obor_rychly^4`","obor_priliv.L","obor_priliv.Q","obor_priliv.C","`obor_priliv^4`","obor_publikac.L","obor_publikac.Q","obor_publikac.C","`obor_publikac^4`","obor_medializ.L","obor_medializ.Q","obor_medializ.C","`obor_medializ^4`","obor_verejnos.L","obor_verejnos.Q","obor_verejnos.C","`obor_verejnos^4`","obor_komplexn.L","obor_komplexn.Q","obor_komplexn.C","`obor_komplexn^4`","obor_vetsi.L","obor_vetsi.Q","obor_vetsi.C","`obor_vetsi^4`","obor_ekzaktnost.L","obor_ekzaktnost.Q","vek.L","vek.Q","vek.C","`vek^4`","`vek^5`","kar_praxe.L","kar_praxe.Q","kar_praxe.C","kar_titul.L","kar_titul.Q","kar_titul.C","`kar_titul^4`","`kar_titul^5`","kar_citace.L","kar_citace.Q","kar_citace.C","`kar_citace^4`","pomer_zakladni.L","pomer_zakladni.Q","pomer_zakladni.C","`pomer_zakladni^4`","`pomer_zakladni^5`","`pomer_zakladni^6`","`pomer_zakladni^7`","`pomer_zakladni^8`","`pomer_zakladni^9`","cinnost_matem.L","cinnost_matem.Q","cinnost_matem.C","cinnost_model.L","cinnost_model.Q","cinnost_model.C","cinnost_teori.L","cinnost_teori.Q","cinnost_teori.C","cinnost_exper.L","cinnost_exper.Q","cinnost_exper.C","cinnost_kateg.L","cinnost_kateg.Q","cinnost_kateg.C","cinnost_vyvoj.L","cinnost_vyvoj.Q","cinnost_vyvoj.C","kar_nejlepsiNe","spec_hlavniBiology","spec_hlavniEngineering","spec_hlavniMedicine","spec_hlavniMathematics","spec_hlavniOther","spec_hlavniMaterials","spec_hlavniPhysics","spec_hlavniEarth_Env","spec_hlavniAstronomy","genderŽena"
"Ano, nevýznamná krize",-0.101613920815908,0.149155106153471,-0.1032296685393,0.0615320512212522,-0.314419011636598,-0.0348292875799306,-0.12784959897755,0.052367785740453,0.158746346763298,0.013635674113867,0.0235816833509719,-0.152270689329463,-0.266145053223268,0.552239541430214,-0.162933216765247,0.272044910406832,-0.267263016371253,-0.132923823519963,-0.307949114965601,0.228366768253286,-0.059910603058321,-0.137726740045709,-0.179549806658179,0.325199024005202,0.118310449616273,0.138773520097948,-0.288428978846678,0.0956370520618149,-0.462963460298239,0.338673189305556,-0.402653273389351,-0.351620685181277,-0.414687863769367,-0.624619248244798,-0.601001460157002,0.443459359795822,-0.0618822641230267,0.0137112407108772,-0.0762682390607606,0.191319406926486,0.0155599875981042,-0.169417468630864,0.293582552839485,0.129613685704736,0.256184156157554,0.0424587346342793,-0.207688681346265,-0.154103985319065,0.135222202392497,0.241472102353404,0.0206736111521828,0.127134930425689,0.144293409994644,-0.245342931898885,-0.476029259737086,-0.201954848495173,0.360462342508041,-0.0113683674182841,0.167326429787926,0.020656861404361,-0.362527095446311,-0.46762727194049,-0.11305446846298,0.0096934140391421,-0.166256104265591,-0.145868762840584,-0.00811423141733236,0.166124206522723,0.436232894894826,-0.212171302596461,-0.0633563177869328,0.490601441341125,-0.219367186586984,0.0964957369308582,-0.0667672999361123,0.0976044074850236,-0.274718490135132,0.189213461719787,0.331156607216055,0.00382680871966857,-0.391672273483136,-0.217569625787309,-0.0670048401695241,-0.0506355987376276,0.21100577422349,0.598145911180855,-0.00764911407517187,0.192648847745365,-0.0921741931907542,-0.0364367924265921,-0.318569646384003,0.0317721579313082,0.123727962573173,-0.0386562596830199,0.320506725521388,-0.143755990739864,-0.216958798214796,0.109027847840213
"Nevím",0.291419270583381,0.0856087532274857,-0.190214810480765,0.00467473366552531,0.036365626647112,-0.263566780985602,-0.0813725143329119,0.0943138580267401,-0.247008152390458,-0.137576862669928,-0.45930626838094,-0.278776057740831,0.100881918041969,-0.296342355789499,-0.232086022128451,0.0705093553813724,0.347736519893608,-0.0240854602441978,-0.433815976250412,-0.334309500533031,0.574161626088463,-0.22263495964138,0.197050647064597,0.0885302919841262,0.276031197922248,-0.213237125630456,-0.577381773986416,0.0554716284952841,-0.0722433766956295,0.252175117665106,0.0973424460033585,0.0642241768447973,0.165438136432418,-0.261176105383417,-0.343105407023007,-0.0371889833240287,-0.510722531341763,-0.197155212315212,-0.241256382539965,0.404047855238289,0.00715385718173538,0.0964841375910197,-0.274160696297831,0.277410678464414,0.303868588218791,0.0925393676815131,-0.0915052269628183,-0.0511326514590681,-0.124809238780467,-0.311730708990322,0.00319330985375913,0.0892897088707326,0.0384552825787529,0.0871610155481762,0.0625467675822545,-0.0710323407022431,-0.352392085562409,0.182633297599078,0.154954731939363,0.340684154525127,0.0777846718967092,0.273265920622871,0.295143955337432,-0.0743669592684216,-0.00530688430200674,0.0676686873487753,-0.308122480267333,-0.0838048739815076,-0.403904685056833,-0.212621465830061,0.0814380193015233,0.12240121544944,-0.197138020377668,-0.256542165293659,0.249921739037262,0.161872956858253,0.228675541221081,0.0310228816067097,0.393895515891663,-0.373256055441242,0.295305313613123,-0.45402194535461,-0.302491101567676,-0.0409654860109154,0.0672944054550021,0.420438602770434,0.106937729491149,0.102854589327835,-0.198081697644553,-0.000844449930648292,0.243746170042189,-0.241853170366345,0.0833427518786287,0.151785979310157,0.0555946651429682,0.330996762277453,0.205231604345767,0.0645908471311127
"Ne, žádná krize není",-0.37150979198127,-0.242820801274117,0.218298081619853,-0.0566164248124407,0.778033868425538,-0.310439224587231,-0.103602158984515,-0.0337326308473955,-0.0947493867195148,-0.226011187278538,-0.236168505798355,-0.268954076383911,-0.229691939271025,-0.20691398429898,0.0258843977356643,-0.231203248423353,0.0372656193778298,0.0713314339932873,0.369182744809905,0.172797156578053,-0.0663637535872059,-0.214958607648315,-0.0848237363764981,-0.0646881260315812,0.282648901717986,-0.0495482547279872,-0.546004691180774,0.274438098012233,-0.407454668797021,-0.507803469054555,0.142561995021244,0.148945904828352,0.196089253949876,-0.222921075296238,-0.0552726020485016,-0.343590186173305,0.144343035030977,0.318289251028178,0.112933258718907,0.182785239365581,-0.125921933475569,0.492986918687043,-0.41075504765056,0.395942716303612,0.608281407705033,-0.233109370941378,-0.553004618451943,0.248786359917032,0.0513996499875487,0.179837398164947,-0.167430877357591,-0.0204093781844673,0.158479505080348,0.019956377718643,-0.224929924097122,-0.209682678404644,0.174433162882993,0.205418670247745,0.163986362185001,-0.323728466525516,0.135205943298373,0.0909150027641821,-0.188362022526399,-0.0136742996506473,-0.0932405900889514,-0.450844004573897,-0.100302410487031,0.166180009721974,-0.0166280319942102,0.209488915481564,0.235585027950528,-0.195351350442807,-0.223311078930922,0.196434539661845,0.174751147958776,-0.232556037715566,-0.0797390887029227,0.355738898989625,0.271513277824163,-0.346439085049703,-0.134266242523683,-0.073321353627162,-0.0242946216248405,-0.491146505104603,0.398080408992911,0.344000288838562,-0.120547257081224,-0.646764509600963,-0.116901462110798,-0.0619413190429729,-0.306832158060625,-0.0276439629923026,-0.250788971666373,0.270216098827634,0.430590726991123,0.168107129917199,0.0198773797821352,-0.146029136776672
