"Class","Predictor","Coefficient","Std_Error","Z_value","P_value","Significance"
"Ano, nevýznamná krize","kar_titul.C",-0.403518780120393,0.448482155710288,-0.899743222740527,0.368256915765537,""
"Ano, nevýznamná krize","`kar_titul^4`",-0.16275954427978,0.382307188549341,-0.425729751243676,0.670304780483387,""
"Ano, nevýznamná krize","kar_citace.L",-0.0106270250836817,0.497825735254443,-0.0213468776945615,0.98296894935359,""
"Ano, nevýznamná krize","kar_citace.Q",0.212894720242498,0.386337570578602,0.551058805706249,0.581593363305196,""
"Ano, nevýznamná krize","kar_citace.C",-0.153074796307366,0.272715288797088,-0.561298917206143,0.574593779611353,""
"Ano, nevýznamná krize","`kar_citace^4`",0.229536022373357,0.242735917762601,0.945620345308129,0.344342263327126,""
"Ano, nevýznamná krize","pomer_zakladni.L",-0.106340713549291,0.50058107989119,-0.212434544214907,0.83176803834054,""
"Ano, nevýznamná krize","pomer_zakladni.Q",-0.29857935278374,0.483899293041904,-0.61702787558709,0.537216339402987,""
"Ano, nevýznamná krize","pomer_zakladni.C",0.262882070368319,0.467360167115363,0.562482832011289,0.573787097410422,""
"Ano, nevýznamná krize","`pomer_zakladni^4`",-0.370490794566911,0.43250534748296,-0.856615523306351,0.39165740376073,""
"Ano, nevýznamná krize","`pomer_zakladni^5`",-0.242624269779028,0.386382119665817,-0.627938658209326,0.530044125127025,""
"Ano, nevýznamná krize","`pomer_zakladni^6`",-0.308845484048645,0.459504904878305,-0.67212663188098,0.501503083443089,""
"Ano, nevýznamná krize","`pomer_zakladni^7`",-0.125907351895017,0.40710737427626,-0.309273080888918,0.757113806203501,""
"Ano, nevýznamná krize","`pomer_zakladni^8`",0.0160237581012677,0.416358461510298,0.0384854868642349,0.969300602716575,""
"Ano, nevýznamná krize","cinnost_exper.L",0.244719685540361,0.319257594505848,0.766527373981946,0.443362570359059,""
"Ano, nevýznamná krize","cinnost_exper.Q",0.00347390561853575,0.290945965246974,0.0119400370979088,0.990473455102532,""
"Ano, nevýznamná krize","cinnost_exper.C",-0.246569488313519,0.277063303325818,-0.889939177631045,0.373498545821461,""
"Ano, nevýznamná krize","kar_nejlepsiNe",0.0691339710830589,0.24775680738192,0.279039643001567,0.780214401821105,""
"Ano, nevýznamná krize","spec_hlavniBiology",0.0021707242961093,0.316287312731486,0.00686314059632278,0.994524049068286,""
"Ano, nevýznamná krize","spec_hlavniEngineering",-0.00425847132408373,0.884585447581362,-0.00481408702316692,0.996158929126273,""
"Ano, nevýznamná krize","spec_hlavniMedicine",-0.0562447614375748,0.564566233175822,-0.0996247351195349,0.920642255729612,""
"Ano, nevýznamná krize","spec_hlavniMathematics",0.0336416571189654,0.865854214004161,0.0388537199159531,0.969007014840156,""
"Ano, nevýznamná krize","spec_hlavniOther",-0.154709721071506,0.568559692364993,-0.272108141236626,0.785538869856196,""
"Ano, nevýznamná krize","spec_hlavniMaterials",-0.113496551638801,0.462781009479417,-0.245248939161254,0.806263685182305,""
"Ano, nevýznamná krize","spec_hlavniPhysics",0.176490586403392,0.403710365593708,0.437171302609087,0.661987120068063,""
"Ano, nevýznamná krize","spec_hlavniEarth_Env",0.0632126439167001,0.503649480887733,0.125509200973029,0.900120441315592,""
"Ano, nevýznamná krize","spec_hlavniAstronomy",-0.226432637971747,1.49667546826437,-0.151290405149976,0.879746637745152,""
"Ano, nevýznamná krize","genderOstatní",-0.202854102153307,1.42233923378188,-0.142620056689243,0.8865902564647,""
"Ano, nevýznamná krize","genderŽena",-0.0374556861972685,0.243023977206313,-0.15412341871712,0.87751242342855,""
"Nevím","(Intercept)",0.362711370788368,0.653245258676854,0.5552453170851,0.578726876071739,""
"Nevím","obor_dotovany.L",0.10152613544353,0.379899338275228,0.26724483360373,0.789280658779939,""
"Nevím","obor_dotovany.Q",-0.0068507099261501,0.406026973872954,-0.016872548788578,0.98653829254289,""
"Nevím","obor_dotovany.C",0.257546940125705,0.240027656089197,1.07298860607128,0.283276228336276,""
"Nevím","`obor_dotovany^4`",0.14859566841153,0.372455925607649,0.398961751431666,0.689921387347971,""
"Nevím","obor_konkuren.L",-0.340421130512004,0.600728525176608,-0.566680482522323,0.570931283485638,""
"Nevím","obor_konkuren.Q",-0.0145090903118544,0.650787807722318,-0.0222946560148914,0.982212911706553,""
"Nevím","obor_konkuren.C",-0.243687433379347,0.315145029057253,-0.773254885562785,0.439371549596054,""
"Nevím","`obor_konkuren^4`",-0.251328710948445,0.641138541730608,-0.392003747380465,0.69505544494973,""
"Nevím","obor_tlak.L",-0.330773130156226,0.305516587114568,-1.0826683201727,0.27895567039669,""
"Nevím","obor_tlak.Q",-0.169624821111147,0.429294238108935,-0.395124849237097,0.69275075080734,""
"Nevím","obor_tlak.C",0.313655200986918,0.532874644891593,0.588609730250399,0.556123105123781,""
"Nevím","obor_rychly.L",-0.0960196906881231,0.368894191669163,-0.260290600547696,0.794639622471089,""
"Nevím","obor_rychly.Q",-0.231455842501449,0.475597575336093,-0.486663209621885,0.626497021236764,""
"Nevím","obor_rychly.C",0.416946804756189,0.229293875270103,1.81839486233566,0.069003803056257,"."
"Nevím","`obor_rychly^4`",0.535738466548994,0.530106222161741,1.0106247467994,0.312196066912751,""
"Nevím","obor_priliv.L",-0.217592075509026,0.487601301798959,-0.446249988886905,0.655416677219066,""
"Nevím","obor_priliv.Q",-0.503148660139057,0.449097668377864,-1.12035464792419,0.262562663038089,""
"Nevím","obor_priliv.C",-0.162739245456826,0.264474173398745,-0.615331332226025,0.538335929669465,""
"Nevím","`obor_priliv^4`",0.297224311516382,0.36227543072336,0.820437397377213,0.411966803579364,""
"Nevím","obor_publikac.L",-0.372259527080064,0.464088093711876,-0.802131173206044,0.422477084351692,""
"Nevím","obor_publikac.Q",-0.377270051892534,0.50372187032907,-0.748965002544107,0.453878299595572,""
"Nevím","obor_publikac.C",0.0874117052521386,0.266039923939219,0.328566118790913,0.742483660701564,""
"Nevím","`obor_publikac^4`",0.0888369234148898,0.495796018145761,0.179180389038083,0.857796061805212,""
"Nevím","obor_medializ.L",-0.19712210301922,0.390175951040601,-0.505213359494593,0.613408988077955,""
"Nevím","obor_medializ.Q",-0.270052835597635,0.548792092798363,-0.492085872120715,0.622658639228792,""
"Nevím","obor_medializ.C",-0.0219845271291268,0.235646969429876,-0.0932943342420914,0.925669733073154,""
"Nevím","`obor_medializ^4`",0.0220352902097277,0.615508441726721,0.0358001429645886,0.9714417190722,""
"Nevím","obor_verejnos.L",0.241042740495268,0.378779110699369,0.636367565387152,0.52453687614928,""
"Nevím","obor_verejnos.Q",0.0701116714391346,0.378590818984064,0.185191156054119,0.853079105562366,""
"Nevím","obor_verejnos.C",0.264280209807789,0.244667182585439,1.08016206756908,0.280070016670956,""
"Nevím","`obor_verejnos^4`",0.310405316865493,0.344954366442986,0.899844579636004,0.36820296661092,""
"Nevím","obor_komplexn.L",-0.163546419917222,0.742828017557232,-0.220167274324197,0.825740882600025,""
"Nevím","obor_komplexn.Q",-0.167599756895328,0.781522078669309,-0.214453003273687,0.830193812311805,""
"Nevím","obor_komplexn.C",0.060856189883445,0.417417285905577,0.145792213064246,0.884085423295392,""
"Nevím","`obor_komplexn^4`",-0.342581754993366,0.644687445730191,-0.531392005943823,0.595147159974056,""
"Nevím","obor_mensi.L",0.297409149878736,0.274093212543037,1.0850657231508,0.277892547306351,""
"Nevím","obor_mensi.Q",-0.037817688783377,0.356921945844881,-0.105955067273483,0.915618002553912,""
"Nevím","obor_mensi.C",-0.158621082689469,0.215316718036831,-0.736687258359271,0.461312557097379,""
"Nevím","`obor_mensi^4`",0.0318346521721528,0.390013770512011,0.0816244311844686,0.934945372841259,""
"Nevím","obor_ekzaktnost.L",0.150418368487019,0.189365353951199,0.794328874572184,0.427003998611114,""
"Nevím","obor_ekzaktnost.Q",-0.20477211877388,0.258932938055274,-0.79083070818193,0.42904278767942,""
"Nevím","vek.L",0.665623852848748,0.622412829642333,1.06942502009678,0.284878198207164,""
"Nevím","vek.Q",0.0687121570003331,0.385390457810204,0.178292315255434,0.858493413663693,""
"Nevím","vek.C",0.0803189300917008,0.331022987382836,0.242638527090597,0.80828543260501,""
"Nevím","`vek^4`",-0.0628882922413216,0.287950386636595,-0.218399749261977,0.827117660883127,""
"Nevím","kar_praxe.L",-0.210027318558416,0.537671972383338,-0.390623520187278,0.696075537662976,""
"Nevím","kar_praxe.Q",-0.0412208014725894,0.331900636225239,-0.124196211075099,0.901159922137653,""
"Nevím","kar_praxe.C",-0.0818509597675749,0.234558933731616,-0.348956905905913,0.727121662401093,""
"Nevím","kar_titul.L",0.103853457096776,0.558778071334307,0.185858147312016,0.85255600387792,""
"Nevím","kar_titul.Q",0.033529741417343,0.390539755902283,0.0858548736987805,0.931581784566351,""
"Nevím","kar_titul.C",-0.361574828047531,0.504412290759472,-0.716823984409903,0.473482710605447,""
"Nevím","`kar_titul^4`",-0.151321216426478,0.429974630202266,-0.351930569381022,0.724890332884673,""
"Nevím","kar_citace.L",-0.540083529824039,0.544112425383468,-0.992595472237947,0.320907132172626,""
"Nevím","kar_citace.Q",0.123746934318113,0.426675630319109,0.290025784283868,0.771796511947449,""
"Nevím","kar_citace.C",0.0552914998267619,0.301902371937743,0.183143641674216,0.854685313725574,""
"Nevím","`kar_citace^4`",0.339667488925398,0.261355433794468,1.2996381364411,0.193725022442162,""
"Nevím","pomer_zakladni.L",-0.423123704201019,0.493454301616815,-0.857472926701912,0.391183570849369,""
"Nevím","pomer_zakladni.Q",0.249053834135669,0.480413668812517,0.51841537887812,0.604168486987518,""
"Nevím","pomer_zakladni.C",0.24318007101093,0.462856287707742,0.525390012989258,0.599312094723766,""
"Nevím","`pomer_zakladni^4`",-0.332304018790284,0.443131911430247,-0.749898642410436,0.453315752202462,""
"Nevím","`pomer_zakladni^5`",-0.0605244154298926,0.396936794153911,-0.152478722862926,0.878809370899639,""
"Nevím","`pomer_zakladni^6`",-0.0656438819821915,0.481738275479211,-0.136264617788346,0.891612093853876,""
"Nevím","`pomer_zakladni^7`",-0.0639977796001637,0.421509605409864,-0.151829943561865,0.879321064371784,""
"Nevím","`pomer_zakladni^8`",-0.272096921702007,0.457372505148466,-0.594913158616045,0.551901521016869,""
"Nevím","cinnost_exper.L",0.387805323060881,0.305977571302555,1.26743055515469,0.205001380077568,""
"Nevím","cinnost_exper.Q",-0.185669009273292,0.280356255142465,-0.662260983543753,0.507803977057651,""
"Nevím","cinnost_exper.C",-0.0188955355491473,0.273073817781503,-0.06919570577164,0.944833841214483,""
"Nevím","kar_nejlepsiNe",0.102747534964354,0.259210534030917,0.396386417506086,0.691819984517276,""
"Nevím","spec_hlavniBiology",0.0708476317782804,0.344044289200948,0.205925905478117,0.83684878945177,""
"Nevím","spec_hlavniEngineering",-0.451754047149884,0.93343885130738,-0.483967478445058,0.628408949702332,""
"Nevím","spec_hlavniMedicine",-0.0533192534829946,0.601551706477784,-0.0886361935455064,0.929371042985997,""
"Nevím","spec_hlavniMathematics",0.0432198881036272,0.853941215647663,0.0506122521218834,0.959634499557836,""
"Nevím","spec_hlavniOther",0.0768354866725516,0.57341505340866,0.13399628456875,0.893405512425026,""
"Nevím","spec_hlavniMaterials",0.101763244575262,0.476901292661892,0.213384291762466,0.83102723172674,""
"Nevím","spec_hlavniPhysics",0.382835169591179,0.424458297283932,0.901938239965868,0.367089676344221,""
"Nevím","spec_hlavniEarth_Env",0.299614425460321,0.489932676311004,0.611542034134766,0.54084079956135,""
"Nevím","spec_hlavniAstronomy",0.296496372843456,1.32227089467568,0.224232699999178,0.822576240305299,""
"Nevím","genderOstatní",-0.0230006411214855,1.294423944831,-0.0177690170313471,0.985823121683759,""
"Nevím","genderŽena",0.212181335317396,0.244896056935958,0.866413849092239,0.386263251933542,""
"Ne, žádná krize není","(Intercept)",-0.526537098724916,0.854183985094942,-0.616421178472916,0.537616579153995,""
"Ne, žádná krize není","obor_dotovany.L",-0.199866547867746,0.479274249370627,-0.41701916622937,0.676664388764618,""
"Ne, žádná krize není","obor_dotovany.Q",0.139991234592748,0.520982330951563,0.268706300148524,0.78815570322649,""
"Ne, žádná krize není","obor_dotovany.C",0.349833062299188,0.325861107839127,1.07356494495163,0.28301771611961,""
"Ne, žádná krize není","`obor_dotovany^4`",0.724605565873695,0.491736762357315,1.47356394994761,0.140599033688072,""
"Ne, žádná krize není","obor_konkuren.L",-0.150470440791885,0.828936882693444,-0.18152219298406,0.855957715019616,""
"Ne, žádná krize není","obor_konkuren.Q",-0.0786717645352519,0.976003884752424,-0.0806059952878241,0.935755298172865,""
"Ne, žádná krize není","obor_konkuren.C",0.21773797416151,0.42913774643797,0.507384810515573,0.61188484134078,""
